"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","kingdom","below_kingdom","below_below_kingdom","below_below_below_kingdom","phylum","subphylum","below_subphylum","below_below_subphylum","below_below_below_subphylum","below_below_below_below_subphylum","superclass","class","subclass","infraclass","below_infraclass","below_below_infraclass","below_below_below_infraclass","below_below_below_below_infraclass","below_below_below_below_below_infraclass","below_below_below_below_below_below_infraclass","below_below_below_below_below_below_below_infraclass","below_below_below_below_below_below_below_below_infraclass","below_below_below_below_below_below_below_below_below_infraclass","below_below_below_below_below_below_below_below_below_below_infraclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33154","2759","below_superkingdom","Opisthokonta","1","131567","2759","33154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33208","33154","kingdom","Metazoa","1","131567","2759","33154","33208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6072","33208","below_kingdom","Eumetazoa","1","131567","2759","33154","33208","6072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33213","6072","below_below_kingdom","Bilateria","1","131567","2759","33154","33208","6072","33213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33511","33213","below_below_below_kingdom","Deuterostomia","1","131567","2759","33154","33208","6072","33213","33511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7711","33511","phylum","Chordata","1","131567","2759","33154","33208","6072","33213","33511","7711","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89593","7711","subphylum","Craniata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7742","89593","below_subphylum","Vertebrata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1476529","7742","below_below_subphylum","Cyclostomata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","1476529","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7776","7742","below_below_subphylum","Gnathostomata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117569","1476529","below_below_below_subphylum","Hyperoartia","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","1476529","117569","","","","","","","","","","","","","","","","","","","","","","","","",""
"117570","7776","below_below_below_subphylum","Teleostomi","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","","","","","","","","","","","","","","","","","","","","","","","","",""
"117571","117570","below_below_below_below_subphylum","Euteleostomi","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","","","","","","","","","","","","","","","","","","","","","","","",""
"7898","117571","superclass","Actinopterygii","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","","","","","","","","","","","","","","","","","","","","","","",""
"186623","7898","class","Actinopteri","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","","","","","","","","","","","","","","","","","","","","","",""
"32440","186623","subclass","Chondrostei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","32440","","","","","","","","","","","","","","","","","","","","",""
"41665","186623","subclass","Neopterygii","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","","","","","","","","","","","","","","","","","","","","",""
"32443","41665","infraclass","Teleostei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","","","","","","","","","","","","","","","","","","","",""
"1489340","32443","below_infraclass","Elopocephalai","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489340","","","","","","","","","","","","","","","","","","",""
"1489341","32443","below_infraclass","Osteoglossocephalai","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","","","","","","","","","","","","","","","","","","",""
"186625","1489341","below_below_infraclass","Clupeocephala","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","","","","","","","","","","","","","","","","","",""
"186624","1489340","below_below_infraclass","Elopocephala","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489340","186624","","","","","","","","","","","","","","","","","",""
"32521","186624","below_below_below_infraclass","Elopomorpha","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489340","186624","32521","","","","","","","","","","","","","","","","",""
"1489388","186625","below_below_below_infraclass","Euteleosteomorpha","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","","","","","","","","","","","","","","","","",""
"186634","186625","below_below_below_infraclass","Otomorpha","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","","","","","","","","","","","","","","","","",""
"282425","186634","below_below_below_below_infraclass","Clupei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","282425","","","","","","","","","","","","","","","",""
"123365","1489388","below_below_below_below_infraclass","Neoteleostei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","","","","","","","","","","","","","","","",""
"32519","186634","below_below_below_below_infraclass","Ostariophysi","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","","","","","","","","","","","","","","","",""
"41705","1489388","below_below_below_below_infraclass","Protacanthopterygii","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","","","","","","","","",""
"1489798","1489388","below_below_below_below_infraclass","Stomiatii","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","1489798","","","","","","","","","","","","","","","",""
"123366","123365","below_below_below_below_below_infraclass","Eurypterygia","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","","","","","","","","","","","","","","",""
"186626","32519","below_below_below_below_below_infraclass","Otophysi","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","","","","","","","","","",""
"123367","123366","below_below_below_below_below_below_infraclass","Ctenosquamata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","","","","","","","","","","","","","",""
"123368","123367","below_below_below_below_below_below_below_infraclass","Acanthomorphata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","","","","","","","","","","","","",""
"123369","123368","below_below_below_below_below_below_below_below_infraclass","Euacanthomorphacea","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","","","","","","","","","","","",""
"1489838","123368","below_below_below_below_below_below_below_below_infraclass","Paracanthomorphacea","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","","","","","","","","","","","",""
"1489872","123369","below_below_below_below_below_below_below_below_below_infraclass","Percomorphaceae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","","","","","","","","","","",""
"1489841","1489838","below_below_below_below_below_below_below_below_below_infraclass","Zeiogadaria","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","1489841","","","","","","","","","","",""
"1489904","1489872","below_below_below_below_below_below_below_below_below_below_infraclass","Carangaria","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489904","","","","","","","","","",""
"1489922","1489872","below_below_below_below_below_below_below_below_below_below_infraclass","Eupercaria","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","","","","","","","","",""
"1489843","1489841","below_below_below_below_below_below_below_below_below_below_infraclass","Gadariae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","1489841","1489843","","","","","","","","","",""
"1489875","1489872","below_below_below_below_below_below_below_below_below_below_infraclass","Gobiaria","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489875","","","","","","","","","",""
"186628","186626","superorder","Characiphysae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186628","","","","","","","","",""
"186627","186626","superorder","Cypriniphysae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","","","","","","","","",""
"7899","32440","order","Acipenseriformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","32440","","","","","","","","","","","","","7899","","","","","","","",""
"7933","32521","order","Anguilliformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489340","186624","32521","","","","","","","","","7933","","","","","","","",""
"1489940","1489922","order","Centrarchiformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","1489940","","","","","","","",""
"32446","282425","order","Clupeiformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","282425","","","","","","","","32446","","","","","","","",""
"7952","186627","order","Cypriniformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","","","","","",""
"8007","41705","order","Esociformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","8007","","","","","","","",""
"8043","1489843","order","Gadiformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","1489841","1489843","","8043","","","","","","","",""
"1489878","1489875","order","Gobiiformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489875","","1489878","","","","","","","",""
"41711","1489798","order","Osmeriformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","1489798","","","","","","","","41711","","","","","","","",""
"8111","1489922","order","Perciformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","","","","","","","",""
"7745","117569","order","Petromyzontiformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","1476529","117569","","","","","","","","","","","","","","","","","7745","","","","","","","",""
"8252","1489904","order","Pleuronectiformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489904","","8252","","","","","","","",""
"8006","41705","order","Salmoniformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","8006","","","","","","","",""
"7995","186628","order","Siluriformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186628","7995","","","","","","","",""
"186622","7899","suborder","Acipenseroidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","32440","","","","","","","","","","","","","7899","186622","","","","","","",""
"1489460","32446","suborder","Clupeoidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","282425","","","","","","","","32446","1489460","","","","","","",""
"8100","8111","suborder","Cottioidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8100","","","","","","",""
"1489845","8043","suborder","Gadoidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","1489841","1489843","","8043","1489845","","","","","","",""
"8219","1489878","suborder","Gobioidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489875","","1489878","8219","","","","","","",""
"8112","8111","suborder","Percoidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8112","","","","","","",""
"30942","8252","suborder","Pleuronectoidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489904","","8252","30942","","","","","","",""
"1489793","7995","suborder","Siluroidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186628","7995","1489793","","","","","","",""
"1490021","8100","infraorder","Cottales","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8100","1490021","","","","","",""
"1490020","8100","infraorder","Gasterosteales","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8100","1490020","","","","","",""
"1545897","1489940","superfamily","Centrarchoidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","1489940","","","1545897","","","","",""
"30725","7952","superfamily","Cobitoidea","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","30725","","","","",""
"30727","7952","superfamily","Cyprinoidea","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","30727","","","","",""
"7900","186622","family","Acipenseridae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","32440","","","","","","","","","","","","","7899","186622","","","7900","","","",""
"7934","7933","family","Anguillidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489340","186624","32521","","","","","","","","","7933","","","","7934","","","",""
"8180","1545897","family","Centrarchidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","1489940","","","1545897","8180","","","",""
"55118","1489460","family","Clupeidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","282425","","","","","","","","32446","1489460","","","55118","","","",""
"7982","30725","family","Cobitidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","30725","7982","","","",""
"8092","1490021","family","Cottidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8100","1490021","","8092","","","",""
"7953","30727","family","Cyprinidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","30727","7953","","","",""
"8008","8007","family","Esocidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","8007","","","","8008","","","",""
"69291","1490020","family","Gasterosteidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8100","1490020","","69291","","","",""
"8220","8219","family","Gobiidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489875","","1489878","8219","","","8220","","","",""
"7996","1489793","family","Ictaluridae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186628","7995","1489793","","","7996","","","",""
"81641","1489845","family","Lotidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","1489841","1489843","","8043","1489845","","","81641","","","",""
"278171","30725","family","Nemacheilidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","30725","278171","","","",""
"8012","41711","family","Osmeridae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","1489798","","","","","","","","41711","","","","8012","","","",""
"8165","8112","family","Percidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8112","","","8165","","","",""
"7746","7745","family","Petromyzontidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","1476529","117569","","","","","","","","","","","","","","","","","7745","","","","7746","","","",""
"8256","30942","family","Pleuronectidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489904","","8252","30942","","","8256","","","",""
"8015","8006","family","Salmonidae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","8006","","","","8015","","","",""
"30989","1489793","family","Siluridae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186628","7995","1489793","","","30989","","","",""
"30950","8007","family","Umbridae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","8007","","","","30950","","","",""
"124129","7900","subfamily","Acipenserinae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","32440","","","","","","","","","","","","","7899","186622","","","7900","124129","","",""
"55119","55118","subfamily","Alosinae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","282425","","","","","","","","32446","1489460","","","55118","55119","","",""
"670798","8220","subfamily","Benthophilinae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489875","","1489878","8219","","","8220","670798","","",""
"278169","7982","subfamily","Cobitinae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","30725","7982","278169","","",""
"504567","8015","subfamily","Coregoninae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","8006","","","","8015","504567","","",""
"641308","8165","subfamily","Luciopercinae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8112","","","8165","641308","","",""
"182230","8012","subfamily","Osmerinae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","1489798","","","","","","","","41711","","","","8012","182230","","",""
"641307","8165","subfamily","Percinae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8112","","","8165","641307","","",""
"504568","8015","subfamily","Salmoninae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","8006","","","","8015","504568","","",""
"504569","8015","subfamily","Thymallinae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","8006","","","","8015","504569","","",""
"124130","124129","tribe","Acipenserini","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","32440","","","","","","","","","","","","","7899","186622","","","7900","124129","124130","",""
"670801","670798","tribe","Neogobiini","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489875","","1489878","8219","","","8220","670798","670801","",""
"670802","670798","tribe","Ponticolini","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489875","","1489878","8219","","","8220","670798","670802","",""
"38526","7953","genus","Abramis","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","30727","7953","","","38526",""
"7901","124130","genus","Acipenser","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","32440","","","","","","","","","","","","","7899","186622","","","7900","124129","124130","7901",""
"58320","7953","genus","Alburnoides","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","30727","7953","","","58320",""
"54555","7953","genus","Alburnus","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","30727","7953","","","54555",""
"34772","55119","genus","Alosa","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","282425","","","","","","","","32446","1489460","","","55118","55119","","34772",""
"109272","8180","genus","Ambloplites","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","1489940","","","1545897","8180","","","109272",""
"50384","7996","genus","Ameiurus","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186628","7995","1489793","","","7996","","","50384",""
"7935","7934","genus","Anguilla","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489340","186624","32521","","","","","","","","","7933","","","","7934","","","7935",""
"98927","7953","genus","Aspius","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","30727","7953","","","98927",""
"160394","278171","genus","Barbatula","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","30725","278171","","","160394",""
